movie_id,title,tags
19995,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization. Action Adventure Fantasy ScienceFiction cultureclash future spacewar spacecolony society spacetravel futuristic romance space alien tribe alienplanet cgi marine soldier battle loveaffair antiwar powerrelations mindandsoul 3d SamWorthington ZoeSaldana SigourneyWeaver StephenLang MichelleRodriguez GiovanniRibisi JoelDavidMoore CCHPounder WesStudi LazAlonso DileepRao MattGerald SeanAnthonyMoran JasonWhyte ScottLawrence KellyKilgour JamesPatrickPitt SeanPatrickMurphy PeterDillon KevinDorman KelsonHenderson DavidVanHorn JacobTomuri MichaelBlain-Rozgay JonCurry LukeHawker WoodySchultz PeterMensah SoniaYee JahnelCurfman IlramChoi KylaWarren LisaRoumain DebraWilson ChrisMala TaylorKibby JodieLandau JulieLamm CullenB.Madden JosephBradyMadden FrankieTorres AustinWilson SaraWilson TamicaWashington-Miller LucyBriant NathanMeister GerryBlair MatthewChamberlain PaulYates WrayWilson JamesGaylyn MelvinLenoClarkIII CarvonFutrell BrandonJelkes MicahMoch HanniyahMuhammad ChristopherNolen ChristaOliver AprilMarieThomas BravitaA.Threatt ColinBleasdale MikeBodnar MattClayton NicoleDionne JamieHarrison AllanHenry AnthonyIngruber AshleyJeffery DeanKnowsley JosephMika-Hunt TerryNotary KaiPantano LoganPithyou StuartPollock Raja GarethRuck RhianSheehan T.J.Storm JodieTaylor AliciaVela-Bailey RichardWhiteside NikieZambo JuleneRenee JamesCameron"
285,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems. Adventure Fantasy Action ocean drugabuse exoticisland eastindiatradingcompany loveofone'slife traitor shipwreck strongwoman ship alliance calypso afterlife fighter pirate swashbuckler aftercreditsstinger JohnnyDepp OrlandoBloom KeiraKnightley StellanSkarsgård ChowYun-fat BillNighy GeoffreyRush JackDavenport KevinMcNally TomHollander NaomieHarris JonathanPryce KeithRichards LeeArenberg MackenzieCrook GregEllis DavidBailie MartinKlebba DavidSchofield LaurenMaher VanessaBranch AngusBarnett GilesNew ReggieLee DominicScottKay TakayoFischer DavidMeunier Ho-KwanTse AndyBeckwith PeterDonaldBadalamentiII ChristopherS.Capp KeithRichards HakeemKae-Kazim GhassanMassoud GoreVerbinski"
206647,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE. Action Adventure Crime spy basedonnovel secretagent sequel mi6 britishsecretservice unitedkingdom DanielCraig ChristophWaltz LéaSeydoux RalphFiennes MonicaBellucci BenWhishaw NaomieHarris DaveBautista AndrewScott RoryKinnear JesperChristensen AlessandroCremona StephanieSigman TenochHuerta AdrianaPaz DomenicoFortunato MarcoZingaro StefanoElfiDiClaudia IanBonar TamWilliams RichardBanham PipCarter SimonLenagan AlessandroBressanello MarcZinga BrigitteMillar AdelBencherif GediminasAdomaitis PeppeLanzetta FrancescoArca MatteoTaranto EmilioAniba BenitoSagredo DaiTabuchi GeorgeLasha SargonYelda AndyCheung ErickHayden OlegMirochnikov AntonioSalines MiloudMouradBenamara GidoSchimanski NigelBarber PatriceNaiambana StephaneCornicard GaryFannin SadaoUeda PhillipLaw WaiWong JosephBalderrama EijiMihara JunichiKajioka VictorSchefé HaraldWindisch TristanMatthiae DetlefBothe BodoFriesecke WilhemIben NoemiKrausz NoahSaavedra FrancisAttakpah MichaelGlantschnig MarlonBoess MarieWohlmuth LiliEpply KonstantinGerlach LaraParmiani UmitUlgen AmraMallassi ZiadAbaza WalidMumuni DerekHorsham NariBlair-Mangat MichaelWhite AdamMcGrady NaderDernaika PezhmaanAlinia JudiDench NeveGachev KarlFarrer KimAdis MaurisaSeleneColeman MatijaMondiMatović SamMendes"
49026,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy. Action Crime Drama Thriller dccomics crimefighter terrorist secretidentity burglar hostagedrama timebomb gothamcity vigilante cover-up superhero villainess tragichero terrorism destruction catwoman catburglar imax flood criminalunderworld batman ChristianBale MichaelCaine GaryOldman AnneHathaway TomHardy MarionCotillard JosephGordon-Levitt MorganFreeman CillianMurphy JunoTemple LiamNeeson MatthewModine AlonAboutboul BenMendelsohn NestorCarbonell JoshPence TomConti JoeyKing WarrenBrown DanielSunjata SamKennard AliashTepina NickJulian MirandaNolan ClaireJulien AidanGillen BurnGorman BrettCullen ReggieLee JosephLyleTaylor ChrisEllis DuaneHenry JamesHarveyWard GonzaloMenendez CameronJack LexDaniel TylerDeanFlores ThomasLennon TrevorWhite RobBrown FredricLehne CourtneyMunch ChrisHill TravisGuba JayBenedict WillEstes DavidDayanFisher GlenPowell RussFega AndresPerez-Molina BrentBriscoe JohnNolan OliverCotton MarkKilleen SarahGoldberg JohnMacMillan RobertWisdom RonnieGeneBlevins JohnHollingworth IanBohen UriGavriel NoelGugliemi HectorAtreyuRuiz PatrickCox AramisKnight JoshStewart WilliamDevane DavidGyasi PatrickJordan JoshuaElijahReese DesmondHarrington MychaelBates TomasArana PeterHolden DavidMonahan JillianArmenante AjaEvans AldousDavidson WadeWilliams JakeCanuso MassiFurlan ChristopherJudge PatrickLeahy ToddGearhart MarcAbbink IsiahAdams CharlieAlejandro RobertArensen GrantBabbitt FileenaBahris RickBolander KylePatrickBrennan ScottChurchson BillCowher GrahamCurry StephanieDominiEhlert JohnFarrer FrankFata ChristopherBryanGomez VitoGrassi MichaelWrenGucciardo SamHarris EdHeavey JohnW.Iwanonkiw CindyJackson DanielJordano WilliamKania TiffanyKemp SunJaeKim HrvojeKlecz AlexKruz TylerLaMarr LeJon PaulJudeLetersky JoeLipari SilviaLombardo JorgeMardel CaleMcConnell DavidDaleMcCue TiffanySanderMcKenzie AllenMerritt OlanMontgomery AlexMoore ShaneNolan JacksonNunn JosephO'Brien MichaelPapajohn SalomonPassariello KyleDavidPierce TroyPolamalu MichaelPower JamesRawlings KirstenRoeters BenRoethlisberger MarkRoman AnthonyJ.Sacco EricSalazar EmilySchooley ThomasTull ChrisVaina VincentvanOmmen MichelleVezzani BarbaraVincent JustinMichaelWoods JasonYee MariaZambrana JohnZion AlexZiwak TommyBayiokos MatthewGooley JeffMoffitt MarkFalvo DiogoHausen GarySievers OrionMcCabe LondonMay JamesQuinn DanielNewman ChristopherNolan"
49529,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands. Action Adventure ScienceFiction basedonnovel mars medallion spacetravel princess alien steampunk martian escape edgarriceburroughs alienrace superhumanstrength marscivilization swordandplanet 19thcentury 3d TaylorKitsch LynnCollins SamanthaMorton WillemDafoe ThomasHadenChurch MarkStrong CiaránHinds DominicWest JamesPurefoy BryanCranston PollyWalker DarylSabara ArkieReece DavoodGhadami PippaNixon JamesEmbree PhilipPhilmar EmilyTierney EdmundKente NicholasWoodeson KyleAgnew DonStark JoshDaugherty JaredCyr ChristopherGoodman AmandaClayton JosephBillingiere AndrewStanton"
559,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle. Fantasy Action Adventure dualidentity amnesia sandstorm loveofone'slife forgiveness spider wretch deathofafriend egomania sand narcism hostility marvelcomic sequel superhero revenge TobeyMaguire KirstenDunst JamesFranco ThomasHadenChurch TopherGrace BryceDallasHoward RosemaryHarris JamesCromwell J.K.Simmons TheresaRussell DylanBaker BillNunn ElizabethBanks TedRaimi PerlaHaney-Jardine WillemDafoe CliffRobertson ElyaBaskin MageinaTovah MichaelPapajohn JoeManganiello StanLee BruceCampbell ChristopherYoung GrantCurtis DanielGillies JohnPaxton BeckyAnnBaker SteveValentine HalFishman LucyGordon ToniWynne AndreB.Blake TimMaculan MarcVann JoeBays GreggDaniel RogelioT.Ramos TimothyPatrickQuill KathrynBryding JoeVirzi BillE.Rogers MichaelAlexander AprilParker-Jones EdwardPadilla RobertCurtisBrown PaulTerrellClayton CarolynNeff ChristinaCindrich SonyaMaddox Derrick'Phoenix'Thomas JessiCollins MichaelMcLaughlin AnneGartlan EmilioRivera KeithWoulard ReynaldoGallegos JimCoope DeanEdwards MargaretLaney AimeeMiles TanyaBond MarkKubr TonyBesson RamonAdams A.J.Adelman AngelisAlexandris DawnMarieAnderson FrankAnello AnyaAvaeva DavidBackus TiffanyL.Baker MarcC.Cancassi SujeileeCandele MichaelCiesla IrinaCosta JohnCrann CrystalMarieDenha AmyV.Dewhurst PaulEdney NatalieFabry KeithFausnaught AmandaFlorian BriannaLeannFlorian TiffanyAshleyFlorian ShaunPatrickFlynn LoganFry KevinFung TonyGaltieri ChuckGerena BrianHopson ClaudeJay JulieJei AndrewJamesJones NatalieJones ChristopherJude BrittanyKrall AlyssaLakota TiaLatrell LindaLee PierangeliLlinas BernadetteLords SandrineMarlier LauraMcDavid NatalieMcNeil DanielMignault MarthaMillan Michele-NanetteMiller ClaudiaKatzMinnick RobertMyers JosephO'Brien JenOda AnjeliaPelay NickPoltoranin VanessaReseland LaRivers BriaRoberts LuisRosa VanessaRoss BrennaRoth ShadeRupe ArickSalmea EricShackelford DanielShafer AbbeySkinner KristinSomo JenniferSparks ChristopherStadulis JimmyStar ArneStarr LiamStone TajnaTanovic AijaTerauda BrigidTurner EvelynVaccaro NickVlassopoulos SincerelyA.Ward SilqWebster GraigF.Weich FredrickWeiss JenniferWeston TrentonWilley RayWineteer SamRaimi"
38757,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs. Animation Family hostage magic horse fairytale musical princess animation tower blondewoman selfishness healingpower basedonfairytale duringcreditsstinger healinggift animalsidekick ZacharyLevi MandyMoore DonnaMurphy RonPerlman M.C.Gainey JeffreyTambor BradGarrett PaulF.Tompkins RichardKiel DelaneyRoseStein NathanGreno ByronHoward TimMertens ByronHoward"
99861,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure. Action Adventure ScienceFiction marvelcomic sequel superhero basedoncomicbook vision superheroteam duringcreditsstinger marvelcinematicuniverse 3d RobertDowneyJr. ChrisHemsworth MarkRuffalo ChrisEvans ScarlettJohansson JeremyRenner JamesSpader SamuelL.Jackson DonCheadle AaronTaylor-Johnson ElizabethOlsen PaulBettany CobieSmulders AnthonyMackie HayleyAtwell IdrisElba LindaCardellini StellanSkarsgård ClaudiaKim ThomasKretschmann AndySerkis JulieDelpy StanLee HenryGoodman ChrisLuca BrianSchaeffer DominiqueProvost-Chalkley IsaacAndrews GarethKieranJones ChanWooLim MinheeYeo BentleyKalu JulianBleach ChristopherBeasley VuyoDabula NondumisoTembe KabeloThai LeleLeowaba MandlaGaduka HarrietManamela BeulahHashe MuscaKumalo MathapeloSeptember AntonyAcheampong ChiomaAnyanwu BenSakamoto ImogenPoynton IsabellaPoynton IngvildDeila SunnyYeo NamjuGo MinaKweon EarlT.Kim ArthurLee VerityHewlett MichaelMatovski AlmaNoce RiccardoRichetta ConstanzaRuff MontyMclaren-Clark JuliaKrynke TonyChristensen IanKay BarryAird AaronHimelstein KerryCondon JaidenStafford DilyanaBouklieva JoshBrolin JotiNagra NickW.Nicholson DanielWestwood JossWhedon"
767,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past. Adventure Fantasy Family witch magic broom schoolofwitchcraft wizardry apparition teenagecrush werewolf DanielRadcliffe RupertGrint EmmaWatson TomFelton MichaelGambon JimBroadbent HelenaBonhamCarter RobbieColtrane MaggieSmith AlanRickman TimothySpall DavidThewlis JulieWalters MatthewLewis EvannaLynch BonnieWright OliverPhelps JamesPhelps MarkWilliams WarwickDavis NataliaTena KatieLeung DaveLegeno GeraldineSomerville HelenMcCrory FreddieStroma DavidBradley FrankDillane HeroFiennes-Tiffin GemmaJones AfshanAzad ShefaliChowdhury GeorginaLeonidas DevonMurray AnnaShaffer JoshHerdman JamieWaylett ScarlettByrne JessieCave LouisCordice AlfieEnoch RobertKnox WilliamMelling PaulRitter IsabellaLaughland RalphIneson SuzanneToase RodHunt ElaricaGallacher DavidYates"
209112,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before. Action Adventure Fantasy dccomics vigilante superhero basedoncomicbook revenge superpowers clarkkent brucewayne dcextendeduniverse BenAffleck HenryCavill GalGadot AmyAdams JesseEisenberg DianeLane JeremyIrons LaurenceFishburne HollyHunter ScootMcNairy CallanMulvey TaoOkamoto JenaMalone BrandonSpink LaurenCohan HughMaguire MichaelCassidy AlanD.Purwin DanAmboyer RebeccaBuller HarryLennix ChristinaWren JadeChynoweth ChadKrowchuk KevinCostner EzraMiller PatrickWilson MichaelShannon CharlieRose VikramGandhi AndrewSullivan NeildeGrasseTyson JonStewart SoledadO'Brien ErikaR.Erickson DanaBash NancyGrace AndersonCooper BrookeBaldwin CarlaGugino JasonMomoa JoeMorton RayFisher JosephCranford EmilyPeterson JeffreyDeanMorgan SammiRotibi HannaDworkin TiffanyL.Addison OwaisAhmed AnishJethmalani TiffanyBedwell NataleeArteaga KeithD.Gallagher JeffDumas MiriamLee AliciaRegan StephanieKoenig RipleySobo RichardBurden JuliusTennon WunmiMosaku DennisNorth KiffVandenHeuvel MasonHeidger AhneyHer KristineCabanban SebastianSozzi KentShocknek RalphLister SammyA.Publes JayR.Adams DavidMidura JayTowers MichaelEllison KirillOstapenko RashontaeWawrzyniak TomLuginbill DavePasch DannyMooney HenryFrostIII NicoleForester DebbieStabenow MilicaGovich JohnLepard SandraLoveAldridge GrahamW.J.Beal HenriFranklin JonathanWest T.J.Martinelli ChrisNewman LuluDahl SamLoganKhaleghi AnneMarieDamman ConnieCraig HenriettaHermelin PatrickLeahy AlbertValladares DavidParis AbigailKuklis GregVioland TirenJhames SteveJasgur JonathanStanley JesseNagy DuvaleMurchison ThomasJ.Fentress CoburnGoss JeffHanlin GaryA.Hecker RobinAtkinDownes IssacRyanBrown BartonBund BaileyChase PatrickO'ConnorCronin SonjaCrosby C.T.Fletcher AhmanGreen DianaGaitirira JaleneMack EsodieGeiger NeneNwoko ScottEdwardLogan MarcusGoddard CruzGonzalez-Cadel AlmaMartinez SalLopez MarcelShihadeh TheoBonganiNdyalvane SatoriShakoor EleBardha InderKumar BrandonBautista LauraAtwood DebbieScaletta DavidLeach GordonMichaels BrianBoland TarasLos JasonHughley SidiHenderson MeighanGerachis NicoleSantini AxelHarney WayneE.Brown DanteBriggins ShannonGarnett LynchR.Travis CarmenGangale JoeCipriano WillBlagrove MarceloBem ZackSnyder"
